attendance_rate,time_spent_hours,assignments_submitted,quiz_avg_score,forum_posts,badges_earned,final_exam_score,final_grade
0.8245071229516849,39.82257904269167,5,0.8262784944094722,2,4,0.7819027929010416,3
0.7292603548243223,45.41750805419521,6,0.5110805852628464,3,0,0.632272570583932,2
0.8471532807151039,41.03928408432286,5,0.5496418533075272,6,4,0.5260187885609175,1
0.9784544784612038,51.65627070419179,8,0.6547735990449808,4,5,0.6857135112094961,2
0.7148769937914996,67.95767797192869,7,0.5701530183132525,6,1,0.6004110468666591,2
0.714879456457623,38.43436764288193,8,0.9589684557818032,6,3,0.774563954205156,3
0.9868819223261087,65.01230746652621,9,0.6699736544802233,8,1,0.8770149713821767,3
0.8651152093729363,38.274918914796686,10,0.8334623564221102,7,3,0.7602587192089234,3
0.6795788421097572,37.28559181254674,10,0.7770456083500306,3,2,0.702600618404697,2
0.8313840065378947,62.2789192751482,10,0.739603367349453,5,4,0.7775858402442924,3
0.6804873460781307,63.829045670114255,9,0.7060481816109382,3,4,0.7351712814841466,2
0.6801405369644615,62.771149051439814,9,0.8855696061683045,7,1,0.8277043489862754,3
0.7862943407349051,30.263038876727883,7,0.5762360539997474,3,2,0.5862593326971954,1
0.4630079633013303,43.01073532891924,10,0.9589502965684878,4,5,0.8447601665910063,3
0.4912623251230451,62.34482888004982,8,0.5069165229243857,6,1,0.5989017339118811,1
0.6656568706138541,50.62312760845842,9,0.8172267588433635,6,0,0.7697860935712696,3
0.5980753319498364,33.89460730703804,8,0.48922542100903255,8,0,0.5764345285274983,1
0.797137099889291,56.87476908688163,6,0.652644167165956,7,5,0.6026486287600411,2
0.6137963886718184,39.27789111512794,10,0.713996490709145,4,3,0.7030201198770848,2
0.5381544447997063,76.91787272588319,9,0.6269956976755728,4,5,0.6730686403908456,2
0.9698473153382331,73.17262193627388,9,0.6727495645574663,4,4,0.8538635492224858,3
0.7161335549270197,59.06146139533351,7,0.491954432810381,6,3,0.649461144684314,2
0.7601292307031886,70.4151005715466,8,0.5518824296914673,7,5,0.7518648006801949,3
0.5362877720679815,50.97187025185072,7,0.7747397060793824,8,5,0.6752217891923472,2
0.6683425913212226,61.481562415625234,7,0.7044507737466167,3,3,0.6230920309640432,2
0.7666383884564799,72.16580442953112,8,0.5964207961267739,4,4,0.7595788153693087,3
0.5773509633866546,53.68248022691469,6,0.8986416644694506,1,0,0.790403677731919,3
0.8063547027518508,46.172192427285744,8,0.5170103650014676,5,3,0.6848385154406083,2
0.6599041965121792,24.43067062734326,6,0.6457614301203906,5,4,0.6836270034125449,2
0.7062459375310085,48.75299711417759,7,0.6241515582732292,5,5,0.6642165104231617,2
0.6597440081655904,62.35134776843467,6,0.7922556441641566,1,0,0.6758225132039332,2
1.0,64.18450141351444,10,0.7072245536705791,7,4,0.8204452505118979,3
0.7479754162893099,57.565475985776146,6,0.6837752130198104,3,4,0.6075067633930447,2
0.591343360656615,41.880513575566404,6,0.4233674944199141,6,1,0.49903398755668726,1
0.8733817368154784,20.347676465786144,9,0.8297551720948139,4,0,0.7335128014805712,2
0.5668734525043466,42.571773529928976,9,0.6673261277752394,3,3,0.7819291198205307,3
0.7813295392507134,45.43482693419073,7,0.717349152641563,9,5,0.6628676391653578,2
0.4560494814180337,45.306065492149784,8,0.5877155169859184,4,4,0.6318779159027695,2
0.5507720926652354,59.278345354668865,6,0.564125685577439,8,1,0.4964670110478129,1
